::1 - - [14/Dec/2015:08:52:22 +0000] "GET /api/game/2015/12/14/past HTTP/1.1" 500 1557 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.80 Safari/537.36"
::1 - - [14/Dec/2015:08:52:54 +0000] "GET /api/game/2015/12/14/past HTTP/1.1" 500 1557 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.80 Safari/537.36"
::1 - - [14/Dec/2015:08:54:11 +0000] "GET /api/game/2015/12/14/past HTTP/1.1" 500 1557 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.80 Safari/537.36"
::1 - - [14/Dec/2015:08:54:55 +0000] "GET /api/game/2015/12/14/past HTTP/1.1" 500 1557 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.80 Safari/537.36"
::1 - - [14/Dec/2015:08:56:03 +0000] "GET /api/game/2015/12/14/past HTTP/1.1" 500 1557 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.80 Safari/537.36"
::1 - - [14/Dec/2015:08:56:44 +0000] "GET /api/game/2015/12/14/past HTTP/1.1" 500 1557 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.80 Safari/537.36"
::1 - - [14/Dec/2015:08:56:50 +0000] "GET /api/game/2015/12/14/past HTTP/1.1" 500 1557 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.80 Safari/537.36"
::1 - - [14/Dec/2015:08:57:35 +0000] "GET /api/game/2015/12/14/past HTTP/1.1" 500 1552 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.80 Safari/537.36"
::1 - - [14/Dec/2015:08:58:29 +0000] "GET /api/game/2015/12/14/past HTTP/1.1" 500 1552 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.80 Safari/537.36"
::1 - - [14/Dec/2015:08:58:36 +0000] "GET /api/game/2015/12/14/past HTTP/1.1" 500 1552 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.80 Safari/537.36"
